run_id,pipeline_name,hit_at_1,hit_at_3,hit_at_5,mrr,natural_student_hit_at_5,canonical_hit_at_5,candidate_recall,p50_latency_ms,p95_latency_ms,peak_memory_mb,decision
phase_a_a3_query_relevance_mmr_t070,query_relevance_mmr_t070,0.29508196721311475,0.7213114754098361,0.7868852459016393,0.515470023654691,0.75,0.8048780487804879,0.9672131147540983,213.47085000070365,280.63534999955664,698.8671875,reject
phase_c_c1_bge_reranker_score_full_pool,bge_reranker_score,0.26229508196721313,0.5081967213114754,0.6557377049180327,0.4217621418217719,0.75,0.6097560975609756,1.0,36108.36830000153,47023.71240000048,2097.203125,reject
phase_c_c1_bge_rank_plus_rrf_rank_full_pool,bge_rank_plus_rrf_rank,0.26229508196721313,0.5245901639344263,0.6721311475409836,0.43174178598017865,0.75,0.6341463414634146,1.0,36108.64390000097,47023.727200000394,2097.203125,retain
phase_b_b4_rerank_combination_dense_best_member_two_relevant_windows_neighbor_expansion,combination_dense_best_member_two_relevant_windows_neighbor_expansion,0.26229508196721313,0.5081967213114754,0.6557377049180327,0.4217621418217719,0.75,0.6097560975609756,1.0,36506.644100000354,48287.10422499989,2097.203125,investigate
phase_c_c1_soft_fusion_no_reranker_full_pool,soft_fusion_no_reranker,0.4262295081967213,0.6065573770491803,0.7704918032786885,0.5570549847182158,0.7,0.8048780487804879,1.0,0.1446999995096121,0.18910000108007807,77.58203125,retain
phase_h_h4_neighbor_expansion,combined_specialists_neighbor_expansion,0.4262295081967213,0.5409836065573771,0.7868852459016393,0.5336065573770491,0.7,0.8292682926829268,1.0,56.1948000031407,71.21949999418575,101.7109375,reject
phase_h_h4_same_page_expansion,combined_specialists_same_page_expansion,0.4262295081967213,0.5409836065573771,0.7704918032786885,0.5357923497267759,0.7,0.8048780487804879,1.0,55.76129999826662,71.3538999989396,101.7109375,reject
phase_h_h4_same_section_expansion,combined_specialists_same_section_expansion,0.4262295081967213,0.6885245901639344,0.7704918032786885,0.5644808743169398,0.7,0.8048780487804879,1.0,55.78390000300715,71.48199999210192,101.7109375,reject
phase_a_a3_query_relevance_mmr_t090,query_relevance_mmr_t090,0.39344262295081966,0.6557377049180327,0.7540983606557377,0.5335875712201652,0.7,0.7804878048780488,0.9344262295081968,259.5238500002779,340.35472500045216,704.67578125,reject
phase_g_g1_original_plus_formula_symbol_normalization,g1_original_plus_formula_symbol_normalization,0.36065573770491804,0.6065573770491803,0.7377049180327869,0.5240911584040803,0.7,0.7560975609756098,1.0,52.66950000077486,125.03700000524987,689.125,retain
phase_g_g0_acronym_expansion,g0_acronym_expansion,0.3442622950819672,0.639344262295082,0.7377049180327869,0.5219005827202549,0.7,0.7560975609756098,1.0,32.99429999606218,41.72590000234777,697.08203125,retain
phase_f_f3_bge_small_fixed_600_100,bge_small_fixed_600_100_hybrid_rrf,0.32786885245901637,0.639344262295082,0.7377049180327869,0.5137038614087794,0.7,0.7560975609756098,1.0,21.431099998153513,28.96530000361963,755.41796875,retain
phase_g_g0_raw,g0_raw,0.32786885245901637,0.639344262295082,0.7377049180327869,0.5137038614087794,0.7,0.7560975609756098,1.0,36.57470000325702,43.98829999990994,677.859375,retain
phase_g_g0_grammar_cleanup,g0_grammar_cleanup,0.32786885245901637,0.639344262295082,0.7377049180327869,0.5138860107712567,0.7,0.7560975609756098,1.0,35.51519999746233,48.42339999595424,691.80078125,retain
phase_g_g0_spelling_normalization,g0_spelling_normalization,0.32786885245901637,0.639344262295082,0.7377049180327869,0.5137038614087794,0.7,0.7560975609756098,1.0,36.96469999704277,56.42870000156108,691.80078125,reject
phase_f_f2_page_prior_rrf,e5_fixed_600_100_page_prior_rrf,0.29508196721311475,0.6885245901639344,0.7868852459016393,0.5175329063950086,0.7,0.8292682926829268,1.0,161.14839999863761,203.6450000014156,1814.5,retain
phase_e_e3_nomic_embed_v1_5_full_fixed_400_80,nomic_full_hybrid_rrf,0.26229508196721313,0.6065573770491803,0.7049180327868853,0.4602233582451637,0.7,0.7073170731707317,1.0,107.08619999786606,145.24070000334177,2182.88671875,investigate
phase_e_e4_nomic_embed_v1_5_512_fixed_400_80,nomic_512_hybrid_rrf,0.26229508196721313,0.5901639344262295,0.6885245901639344,0.4578061632489861,0.7,0.6829268292682927,1.0,123.21789999987232,148.59539999815752,1584.09765625,investigate
phase_b_b4_rerank_combination_dense_best_member_leading_text_neighbor_expansion,combination_dense_best_member_leading_text_neighbor_expansion,0.26229508196721313,0.4426229508196721,0.6065573770491803,0.4078553124831129,0.7,0.5609756097560976,1.0,25621.384500001568,40695.25642500093,2097.203125,investigate
phase_f_f2_query_relevant_windows,e5_fixed_600_100_query_relevant_windows,0.22950819672131148,0.5081967213114754,0.6885245901639344,0.40923253369688173,0.7,0.6829268292682927,0.9180327868852459,165.61039999942295,210.20750000025146,1814.5,reject
phase_f_f2_parent_page_child,e5_fixed_600_100_parent_page_child,0.3114754098360656,0.5901639344262295,0.7049180327868853,0.49032715917961817,0.65,0.7317073170731707,0.9836065573770492,160.61179999815067,203.26620000196272,1814.05859375,reject
phase_f_f1_e5_fixed_600_100,e5_fixed_600_100_hybrid_rrf,0.3114754098360656,0.5901639344262295,0.7049180327868853,0.49020355782650865,0.65,0.7317073170731707,1.0,221.24619999885908,561.907399998745,2100.31640625,investigate
phase_a_a1_fixed_source_quotas_t080,fixed_source_quotas_t080,0.29508196721311475,0.5901639344262295,0.6721311475409836,0.4742459726066283,0.65,0.6829268292682927,0.9180327868852459,0.08729999990464421,0.19034999991163204,197.80078125,reject
phase_a_a2_plain_rrf_t090,plain_rrf_t090,0.2786885245901639,0.4426229508196721,0.5737704918032787,0.4207141674354789,0.65,0.5365853658536586,0.9016393442622951,0.001050000037139398,0.0038000001723048626,197.30859375,reject
phase_b_b4_rerank_combination_dense_best_member_leading_text_chapter_section_chunk,combination_dense_best_member_leading_text_chapter_section_chunk,0.2786885245901639,0.47540983606557374,0.5737704918032787,0.4094364503449087,0.65,0.5365853658536586,1.0,27433.041999999205,36255.61384999992,2097.203125,investigate
phase_e_e0_bge_small_fixed_400_80_control,bge_small_hybrid_rrf,0.2459016393442623,0.5573770491803278,0.6885245901639344,0.4416473126633154,0.65,0.7073170731707317,1.0,42.74979999900097,53.05639999642153,832.11328125,retain
phase_e_e5_e5_large_v2_fixed_400_80,e5_large_v2_dense,0.36065573770491804,0.5737704918032787,0.7540983606557377,0.5238541740590921,0.6,0.8292682926829268,1.0,246.55210000128136,455.77200000116136,2094.05859375,investigate
phase_f_f1_e5_fixed_400_80,e5_fixed_400_80_dense,0.36065573770491804,0.5737704918032787,0.7540983606557377,0.5238541740590921,0.6,0.8292682926829268,1.0,238.80689999714377,511.7022000013094,2151.15234375,investigate
phase_f_f0_bm25_fixed_600_100,bm25_fixed_600_100,0.32786885245901637,0.6229508196721312,0.7377049180327869,0.5090368905133789,0.6,0.8048780487804879,1.0,0.8746000021346845,1.7843000023276545,131.7734375,investigate
phase_a_a2_weighted_rrf_t090,weighted_rrf_t090,0.29508196721311475,0.4098360655737705,0.5573770491803278,0.4222188246994114,0.6,0.5365853658536586,0.9016393442622951,0.2368999998907384,0.5372499997520208,197.30859375,reject
phase_a_a3_query_relevance_fusion_t080,query_relevance_fusion_t080,0.29508196721311475,0.5901639344262295,0.7213114754098361,0.47255705560912886,0.6,0.7804878048780488,0.9508196721311475,70.64179999997577,94.36372500022117,704.67578125,reject
phase_a_a3_query_relevance_mmr_t080,query_relevance_mmr_t080,0.29508196721311475,0.5737704918032787,0.7213114754098361,0.4731906510087498,0.6,0.7804878048780488,0.9508196721311475,202.59020000048622,269.99107500046193,702.66796875,reject
phase_f_f1_e5_paragraph_groups,e5_paragraph_groups_hybrid_rrf,0.2786885245901639,0.5409836065573771,0.6721311475409836,0.44479022435859183,0.6,0.7073170731707317,1.0,334.7302000001946,744.1450000005716,2151.15234375,investigate
phase_f_f0_bm25_fixed_400_80,bm25_fixed_400_80,0.2786885245901639,0.5081967213114754,0.6721311475409836,0.44993544689250614,0.55,0.7317073170731707,1.0,1.186100002087187,2.4647999998705927,130.81640625,investigate
phase_f_f0_bm25_fixed_400_80_headings,bm25_fixed_400_80_headings,0.2786885245901639,0.5245901639344263,0.6885245901639344,0.4551729465865166,0.55,0.7560975609756098,1.0,1.1612999987846706,2.53300000258605,131.7734375,investigate
phase_e_e1_bge_m3_dense_fixed_400_80,bge_m3_dense_dense,0.26229508196721313,0.5245901639344263,0.6885245901639344,0.4468318589076104,0.55,0.7560975609756098,1.0,167.299799999455,219.7448999977496,2374.15625,investigate
phase_b_b4_rerank_combination_shortest_member_leading_text_chapter_section_chunk,combination_shortest_member_leading_text_chapter_section_chunk,0.21311475409836064,0.45901639344262296,0.5081967213114754,0.37222236560268285,0.55,0.4878048780487805,1.0,24661.309050000455,33782.71665000011,2091.95703125,investigate
phase_a_a2_unique_source_preservation_t090,unique_source_preservation_t090,0.14754098360655737,0.3114754098360656,0.5737704918032787,0.3134551384767088,0.55,0.5853658536585366,0.9508196721311475,0.037499999734791345,0.10542500024257606,197.30859375,reject
phase_c_c2_bm25_fast_reranker_budget_8,bm25_fast_reranker_budget_8,0.13114754098360656,0.4262295081967213,0.5901639344262295,0.30099531615925057,0.55,0.6097560975609756,0.6885245901639344,8.866800000760122,13.276900001073955,87.546875,reject
phase_c_c2_bm25_fast_reranker_budget_15,bm25_fast_reranker_budget_15,0.13114754098360656,0.4262295081967213,0.5901639344262295,0.3133875687154376,0.55,0.6097560975609756,0.819672131147541,9.491299999353942,13.446899998598383,87.546875,reject
phase_c_c2_bm25_fast_reranker_budget_10,bm25_fast_reranker_budget_10,0.13114754098360656,0.4262295081967213,0.5901639344262295,0.3080991412958626,0.55,0.6097560975609756,0.7540983606557377,9.54249999995227,16.15720000154397,87.546875,reject
phase_e_e2_bge_m3_sparse_and_fusion_fixed_400_80,bge_m3_sparse,0.2786885245901639,0.5409836065573771,0.6885245901639344,0.46380738579802566,0.5,0.7804878048780488,1.0,596.5972000012698,719.0590999998676,2366.53125,investigate
phase_c_c1_bge_score_plus_normalized_rrf_full_pool,bge_score_plus_normalized_rrf,0.22950819672131148,0.3442622950819672,0.45901639344262296,0.36551609514327654,0.5,0.43902439024390244,1.0,36108.39130000022,47023.739000001115,2097.203125,reject
phase_f_f0_bm25_paragraph_groups,bm25_paragraph_groups,0.21311475409836064,0.4262295081967213,0.6065573770491803,0.36570119714058064,0.5,0.6585365853658537,1.0,1.5664999991713557,3.2455999971716665,131.7734375,investigate
phase_c_c1_weighted_rrf_full_pool,weighted_rrf,0.26229508196721313,0.3770491803278688,0.47540983606557374,0.37877353579245426,0.45,0.4878048780487805,1.0,0.13389999912760686,0.19659999998111743,86.48046875,reject
phase_a_a2_weighted_rrf_t080,weighted_rrf_t080,0.26229508196721313,0.3770491803278688,0.47540983606557374,0.37639471015543186,0.45,0.4878048780487805,0.9344262295081968,0.1807999999527965,0.3563249998705942,197.30859375,reject
phase_a_a1_weighted_rrf_t080,weighted_rrf_t080,0.26229508196721313,0.3770491803278688,0.47540983606557374,0.37639471015543186,0.45,0.4878048780487805,0.9344262295081968,0.24599999983365706,0.4681749998098894,197.80078125,investigate
phase_a_a1_plain_rrf_t080,plain_rrf_t080,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.37106020118315197,0.45,0.4878048780487805,0.9344262295081968,0.0014000002011016477,0.006149999762783409,197.80078125,investigate
phase_a_a2_plain_rrf_t080,plain_rrf_t080,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.37106020118315197,0.45,0.4878048780487805,0.9344262295081968,0.0012000000424450263,0.007900000127847306,197.30859375,reject
phase_c_c1_plain_rrf_full_pool,plain_rrf,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.37330297290563186,0.45,0.4878048780487805,1.0,0.13079999916953966,0.17140000090876129,84.67578125,reject
phase_c_c2_rrf_preselector_budget_10,rrf_preselector_budget_10,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.35634920634920636,0.45,0.4878048780487805,0.7377049180327869,0.13390000094659626,0.19319999955769163,87.1953125,reject
phase_c_c2_rrf_preselector_budget_8,rrf_preselector_budget_8,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.3441451990632319,0.45,0.4878048780487805,0.6229508196721312,0.13629999921249691,0.20140000015089754,87.1953125,reject
phase_c_c2_rrf_preselector_budget_15,rrf_preselector_budget_15,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.36821411739444526,0.45,0.4878048780487805,0.8852459016393442,0.1354000014543999,0.24649999977555126,87.4609375,reject
phase_a_a1_quotas_then_rrf_t080,quotas_then_rrf_t080,0.2459016393442623,0.4098360655737705,0.47540983606557374,0.37637813006665466,0.45,0.4878048780487805,0.9180327868852459,0.10480000014467805,0.3160999998499392,197.80078125,reject
phase_a_a4_uncompressed_union_t080,uncompressed_union_t080,0.2459016393442623,0.39344262295081966,0.47540983606557374,0.37330297290563186,0.45,0.4878048780487805,1.0,10.134250000191969,21.791899999470843,197.56640625,retain
phase_a_a1_diversity_mmr_t080,diversity_mmr_t080,0.2459016393442623,0.3770491803278688,0.45901639344262296,0.37014441815550786,0.45,0.4634146341463415,0.9180327868852459,93.81409999991774,152.21392499995545,197.65625,reject
phase_f_f0_bm25_fixed_300_50,bm25_fixed_300_50,0.22950819672131148,0.4262295081967213,0.6229508196721312,0.3823406139411262,0.45,0.7073170731707317,1.0,1.4349999983096495,3.8340000028256327,107.9296875,investigate
phase_f_f0_bm25_section_aware,bm25_section_aware,0.18032786885245902,0.4426229508196721,0.6065573770491803,0.361999286684338,0.45,0.6829268292682927,1.0,1.1515000005601905,2.3888999967311975,132.8203125,investigate
phase_b_b2_combination_dense_best_member_leading_text_neighbor_expansion,combination_dense_best_member_leading_text_neighbor_expansion,0.22950819672131148,0.36065573770491804,0.4426229508196721,0.35117182536464825,0.4,0.4634146341463415,1.0,30.325449999963894,36.127924999391325,679.0,investigate
